tconst	directors	writers
tt0000417	nm0617588	nm0894523,nm0920229,nm0617588
tt0010323	nm0927468	nm0562346,nm0417917
tt0012349	nm0000122	nm0000122
tt0013442	nm0003638	nm0831290,nm0301961
tt0015324	nm0000036	nm0369841,nm0593477,nm0115669
tt0015648	nm0001178	nm0012810,nm0001178,nm0017893,nm0038595,nm0872308
tt0015864	nm0000122	nm0000122
tt0017136	nm0000485	nm0902376,nm0000485
tt0017925	nm0115669,nm0000036	nm0000036,nm0115669,nm0090213,nm0807667,nm0685904,nm0809548
tt0018455	nm0003638	nm0562346,nm0837183,nm0385012,nm0129721
tt0019254	nm0003433	nm0217865,nm0003433
tt0020530	nm0000320	nm0198557,nm0000320
tt0020629	nm0587277	nm0718871,nm0027173,nm0007973,nm0028636,nm0837989,nm0031033,nm0587277
tt0021749	nm0000122	nm0000122,nm0139714,nm0188357
tt0021814	nm0115218,nm0005713	nm0831290,nm0213019,nm0049721,nm0287124,nm0111313,nm0115218,nm0169606,nm0614225,nm0826873,nm0828574
tt0021884	nm0001843	nm0049721,nm0791217,nm0916811,nm0287124,nm0267020,nm0770337,nm0282984,nm0751246
tt0022100	nm0000485	nm0902376,nm0000485,nm0414825
tt0023969	nm0564970	nm0436095,nm0748438,nm0790654,nm0674759
tt0024216	nm0178260,nm0774325	nm0187256,nm0741656,nm0178260,nm0908624,nm0330390
tt0025316	nm0001008	nm0728307,nm0011343
tt0026029	nm0000033	nm0117955,nm0071657,nm0067308
tt0026138	nm0001843	nm0791217,nm0403398,nm0049721,nm0076653,nm0088662,nm0282984,nm0531878,nm0715723,nm0792670,nm1073460,nm2191908
tt0027977	nm0000122	nm0000122
tt0029583	nm0183183,nm0359457,nm0414144,nm0604392,nm0668998,nm0789313	nm0342278,nm0342303,nm0780799,nm0187232,nm0257481,nm0725439,nm0403319,nm0210112,nm0087490,nm0810324
tt0029843	nm0002031,nm0445033	nm0706993,nm0589316,nm0500284
tt0029947	nm0001328	nm0629580,nm0928444
tt0030341	nm0000033	nm0924781,nm0319148,nm0490950
tt0031381	nm0281808	nm0593565,nm0397608,nm0308177,nm0372942,nm0842485,nm0886668
tt0031679	nm0001008	nm0118227,nm0287931,nm0175333
tt0031971	nm0000406	nm0370697,nm0629580,nm0372942
tt0032138	nm0281808,nm0002030,nm0851537,nm0861703,nm0896542	nm0486538,nm0753249,nm0941138,nm0000875,nm0002030,nm0006085,nm0106505,nm0134284,nm0276252,nm0355095,nm0361971,nm0388755,nm0481618,nm0536941,nm0542534,nm0591774,nm0621790,nm0685265,nm0780833,nm0799015,nm0861703,nm0896542
tt0032455	nm0019282,nm0035899,nm1968474,nm0272568,nm0359457,nm0359610,nm0373429,nm0414144,nm0527217,nm0730860,nm0766402,nm0789313	nm0335469,nm0400056,nm0086293,nm0687624,nm0226679,nm0390839,nm0942687,nm0538164,nm0373871,nm0668998,nm0266338,nm0553200,nm0857936,nm0827963,nm0572689,nm0257481,nm0810324,nm0672093,nm0754836,nm0670328,nm0821707,nm0335296,nm6773872
tt0032551	nm0000406	nm0425913,nm0825705
tt0032553	nm0000122	nm0000122
tt0032599	nm0001328	nm0496468,nm0372942,nm0531269,nm0753452
tt0032904	nm0002030	nm0829330,nm0058129,nm0759029
tt0032910	nm0272568,nm0373429,nm0414144,nm0455741,nm0527217,nm0730860,nm0789313	nm0172830,nm0780799,nm0257481,nm0810324,nm0183183,nm0754836,nm0672093,nm0061284,nm0670328,nm0850895
tt0032976	nm0000033	nm0238898,nm0792845,nm0365661,nm0531878,nm0389580
tt0033467	nm0000080	nm0542534,nm0000080,nm0002144,nm0219670,nm0448809
tt0033563	nm0035899,nm0272568,nm0414144,nm0455741,nm0730860,nm0789313	nm0335469,nm0400056,nm0257481,nm0670328,nm0061284,nm0727370,nm0821707,nm0810324,nm0008673,nm2927785
tt0033870	nm0001379	nm0001379,nm0358591
tt0034492	nm0019282,nm0035899,nm0359457,nm0373871,nm0730860,nm0766402,nm0942687,nm0204190,nm0314671	nm0759041,nm0668998,nm0604392,nm0821707,nm0789873,nm0266338,nm0183231,nm0942723,nm0055119,nm0305019,nm0401604,nm0572689,nm0634711,nm0773436,nm0821515,nm0917305,nm0931614
tt0034583	nm0002031	nm16909158,nm0258493,nm0462321,nm0122417,nm0019706,nm0732452
tt0035423	nm0003506	nm0737216,nm0003506
tt0036342	nm0000033	nm0928642,nm0072639,nm0720904,nm0568060
tt0036613	nm0001008	nm0258493,nm0450279
tt0036775	nm0000697	nm0000697,nm0151452,nm0128906
tt0036868	nm0943758	nm0792845,nm0437969
tt0038109	nm0000033	nm0372942,nm1301541,nm0761573,nm0534191,nm0739676
tt0038355	nm0001328	nm0001203,nm0102824,nm0299154,nm0151452
tt0038650	nm0001008	nm0329304,nm0352443,nm0001008,nm0842485,nm0827821,nm0933858
tt0038787	nm0000033	nm0372942,nm0000033,nm0285218,nm0644048
tt0039628	nm0780833	nm0780833,nm0204016
tt0040522	nm0001120	nm0953790,nm0059030,nm0080755,nm0147599,nm0001120,nm0290000,nm0315657,nm0346291
tt0040746	nm0000033	nm0002025,nm0358096,nm0491306,nm0372942
tt0040897	nm0001379	nm0001379,nm0871252
tt0041959	nm0715346	nm0001294,nm0000080,nm0466099,nm0715346
tt0042192	nm0000581	nm0000581,nm0650581
tt0042332	nm0314671,nm0414144,nm0527217	nm0674518,nm0670328,nm0672093,nm0780799,nm0382548,nm0109205,nm0716206,nm0027011,nm0727370,nm0710683,nm0850895
tt0042546	nm0467396	nm0153808,nm0110958,nm0175333
tt0042876	nm0000041	nm0015611,nm0000041,nm0368074
tt0043014	nm0000697	nm0102818,nm0000697,nm0551261
tt0043265	nm0001379	nm0286163,nm0012938,nm0001379,nm0171924,nm0896830
tt0043274	nm0314671,nm0414144,nm0527217,nm0455741	nm0140902,nm0382548,nm0780799,nm0670328,nm0672093,nm0727370,nm0052520,nm0183183,nm0447039,nm0335469,nm0400056,nm0174974,nm0649603,nm0906929,nm0404717
tt0043456	nm0936404	nm0636002,nm0060915
tt0044079	nm0000033	nm0151452,nm0650262,nm0177336,nm0383604,nm0372942
tt0044081	nm0001415	nm0931783,nm0766665
tt0044706	nm0003593	nm0286025,nm0192356
tt0044741	nm0000041	nm0000041,nm0368074,nm0644823
tt0045152	nm0002045,nm0000037	nm0173679,nm0337582
tt0046183	nm0314671,nm0414144,nm0527217,nm0455741	nm0057381,nm0780799,nm0672093,nm0670328,nm0382548,nm0727370,nm0052520,nm0942723,nm0183183,nm0159767
tt0046250	nm0943758	nm0874308,nm0402848,nm0226538
tt0046268	nm0167241	nm0036062,nm0167241,nm0167242
tt0046359	nm0000697	nm0000697,nm0089637,nm0079654,nm0874522
tt0046438	nm0654868	nm0633792,nm0654868
tt0046911	nm0167241	nm0092267,nm0092268,nm0167241,nm0167242,nm0557510,nm0340190
tt0046912	nm0000033	nm0461425
tt0047296	nm0001415	nm0775977,nm0425711,nm0802563
tt0047396	nm0000033	nm0371088,nm0409997
tt0047437	nm0000697	nm0000697,nm0853138,nm0499626
tt0047478	nm0000041	nm0000041,nm0368074,nm0644823
tt0047528	nm0000019	nm0000019,nm0684083,nm0280919
tt0047673	nm0002031	nm0469915,nm0659085,nm0291035
tt0048280	nm0314671,nm0414144,nm0527217,nm0194018	nm0338950,nm0672093,nm0727370,nm0942723,nm0196119,nm0159767,nm0335469,nm0400056,nm0670328,nm0689679,nm0850895,nm3085481
tt0048424	nm0001452	nm0344181,nm0012938,nm0001452
tt0048545	nm0712947	nm0827856,nm0795730,nm0712947
tt0048728	nm0000033	nm0371088,nm0230196,nm0178785
tt0049223	nm0928208	nm0401738,nm0088726,nm1051864
tt0049366	nm0796923	nm0537784,nm0278277,nm0172628
tt0049406	nm0000040	nm0000040,nm0860292,nm0925137
tt0049470	nm0000033	nm0371088,nm0071657,nm0943922,nm0534191
tt0049730	nm0000406	nm0637793,nm0494435
tt0049833	nm0001124	nm0933335,nm0408933,nm0816161,nm0533418,nm0489679,nm0307471,nm0290931
tt0050083	nm0001486	nm0741627
tt0050212	nm0000180	nm0099541,nm0286025,nm0933858
tt0050613	nm0000041	nm0644823,nm0368074,nm0452878,nm0000041
tt0050783	nm0000019	nm0000019,nm0280919,nm0684083,nm0001596
tt0050825	nm0000040	nm0000040,nm0932229,nm0860292,nm0167767
tt0050976	nm0000005	nm0000005
tt0050986	nm0000005	nm0000005
tt0051201	nm0000697	nm0002005,nm0000697,nm0475823,nm0546140
tt0051459	nm0112218	nm0112218,nm0688117,nm0931783
tt0052311	nm0000080	nm0000080,nm0557767,nm0168759,nm0597574
tt0052357	nm0000033	nm0178785,nm0853138,nm0092267,nm0092268,nm0027173
tt0052520	nm0103975,nm0382227,nm0474539,nm0425593,nm0054374,nm0791027,nm0001149,nm0575546,nm0685957,nm0806915,nm0304681,nm0692872,nm0165493,nm0799033,nm0080867,nm0628149,nm0189075,nm0282984,nm0500552,nm0663577,nm0935636,nm0742341,nm0567471,nm0011727,nm0480807,nm0828720,nm0723664,nm0494903,nm0755963,nm0638528,nm0796923,nm0125111,nm0718467,nm0038906,nm0625680,nm0572851,nm0338719,nm0589228,nm0591142,nm0776838,nm0829717,nm0124877,nm0320637,nm0321143,nm0336139,nm0443170,nm0723629,nm0764781,nm0784198,nm0918659,nm0257992,nm0526946,nm0869664	nm0785245,nm0064579,nm0558577,nm0358839,nm0425138,nm0685957,nm0567613,nm0728507,nm0288996,nm0805748,nm0326107,nm0476565,nm0600987,nm1044475,nm1039635,nm0171924,nm0265640,nm0282061,nm0626981,nm0696189,nm0003198,nm0148569,nm0406857,nm1041186,nm0738222,nm0920063,nm0001969,nm0206546,nm0460856,nm1042595,nm0211315,nm0298891,nm0392662,nm1044445,nm0741627,nm1041366,nm0081549,nm0257992,nm1040542,nm0573845,nm0774441,nm0833511,nm0866634,nm0933016,nm0812257
tt0052561	nm0695937	nm0562606,nm0871261
tt0052618	nm0943758	nm0908753,nm0876562,nm0000683,nm0027173,nm0067103,nm0296737
tt0053125	nm0000033	nm0499626
tt0053198	nm0000076	nm0000076,nm0610115
tt0053221	nm0001328	nm0299154,nm0102824,nm0564800
tt0053285	nm0164203,nm0314671,nm0488981,nm0718627,nm0527217	nm0672093,nm0674518,nm0727370,nm0382548,nm0670328,nm0780799,nm0942723,nm0052520
tt0053291	nm0000697	nm0000697,nm0224634,nm0858329,nm0517615
tt0053472	nm0000419	nm0001031,nm0000419,nm0000076
tt0053604	nm0000697	nm0000697,nm0224634
tt0053779	nm0000019	nm0000019,nm0280919,nm0684083,nm0740021,nm0001596
tt0054047	nm0836328	nm0731679,nm0000041,nm0077159,nm0368074,nm0628305,nm0644823
tt0054215	nm0000033	nm0825010,nm0088645
tt0054331	nm0000040	nm0874308,nm0268779,nm0001811,nm0932229,nm1306202
tt0054698	nm0001175	nm0001986,nm0043480
tt0054953	nm0496746	nm0286025,nm0533745
tt0054997	nm0744035	nm0140987,nm0744035,nm0856677
tt0055031	nm0006452	nm0542631
tt0055254	nm0314671,nm0527217,nm0718627	nm0670328,nm0807977
tt0055614	nm0730385,nm0936404	nm0499626,nm0491306,nm0730385
tt0055630	nm0000041	nm0000041,nm0452878
tt0055928	nm0950109	nm0537363,nm0367820,nm0558435,nm0001220,nm0542554,nm0950109
tt0056058	nm0462030	nm0847668,nm0368074
tt0056172	nm0000180	nm0004122,nm0933858
tt0056193	nm0000040	nm0618603,nm0000040,nm0364805
tt0056197	nm0002175,nm0554249,nm0652631,nm0926919,nm0953123	nm0752485,nm0308900,nm0428296,nm0700950,nm0781250
tt0056217	nm0000406	nm0068650,nm0325135,nm0424986
tt0056218	nm0001239	nm0174410,nm0043480,nm0001239
tt0056592	nm0612322	nm0497369,nm0285210
tt0056687	nm0000736	nm0268230,nm0375355
tt0056801	nm0000019	nm0000019,nm0280919,nm0684083,nm0740021
tt0056869	nm0000033	nm0238898,nm0402805
tt0056923	nm0002045	nm0832099,nm0066939
tt0057012	nm0000040	nm0000040,nm0816143,nm0313570
tt0057076	nm0950109	nm0537363,nm0367820,nm0001220,nm0558435
tt0057115	nm0836328	nm0108595,nm0165412,nm0122446
tt0057413	nm0001175	nm0725009,nm0001175
tt0057546	nm0718627,nm0314671,nm0359457	nm0670328,nm0925493
tt0057565	nm0000041	nm0644823,nm0452878,nm0386750,nm0000041,nm0402805
tt0058150	nm0357891	nm0537363,nm0214989,nm0001220,nm0367820,nm0558435
tt0058329	nm0000033	nm0334357,nm0696319
tt0058331	nm0829038	nm0909556,nm0196119,nm0871308
tt0058385	nm0002030	nm0503585,nm0789737
tt0058461	nm0001466	nm0093501,nm8800791,nm0146033,nm0001466,nm0173549,nm0000041,nm0223964,nm0452878,nm0856319,nm0884547
tt0058946	nm0690597	nm0758357,nm0690597
tt0059113	nm0000180	nm0664985,nm0004122
tt0059578	nm0001466	nm0001466,nm0607694,nm0898812,nm0006872,nm0217258,nm0223964
tt0059646	nm0000591	nm0000591,nm0102722,nm0831816
tt0059742	nm0936404	nm0403346,nm0512231,nm0189496,nm0499626,nm0903125
tt0059800	nm0950109	nm0537363,nm0394200,nm0926525,nm0565886,nm0001220
tt0060028	nm0200022,nm0678928,nm0784198,nm0568546,nm0852676,nm0909098,nm0125111,nm0159007,nm0524188,nm0652631,nm0326360,nm0202297,nm0018354,nm0229697,nm0366314,nm0671984,nm0765121,nm0817081,nm0321143,nm0568228,nm0627950,nm0641400,nm0259589,nm0464506,nm0494903,nm0625383,nm0325476,nm0448946	nm0734472,nm0284894,nm0801892,nm0177731,nm0003198,nm0524188,nm0812257,nm0088645,nm0085353,nm0186918,nm0314775,nm0035392,nm0374352,nm0437200,nm0773971,nm0836318,nm0934574,nm0363492,nm0408681,nm0908526,nm0135830,nm1084857,nm0425138,nm0558577,nm0670268,nm0818649,nm0873200,nm0113582,nm0251375,nm0255196,nm0358842,nm0542531,nm0707804,nm0811772,nm0819004,nm0928068,nm0122731,nm0011219,nm0240812,nm0482303,nm2165300,nm2123523,nm0754517,nm0901566,nm2124525,nm0011366,nm0260012,nm0507741,nm0805577,nm2171588,nm0460711
tt0060107	nm0001789	nm0464846,nm0001789
tt0060176	nm0000774	nm0000774,nm0181497,nm0346096,nm0093927
tt0060196	nm0001466	nm0898812,nm0001466,nm0408488,nm0769249,nm0461658
tt0060345	nm0005062,nm0913326	nm0317450,nm0817476,nm0644727
tt0060827	nm0000005	nm0000005
tt0061184	nm0001566	nm0016361,nm0499626
tt0061418	nm0671957	nm0628058,nm0000914,nm0001801
tt0061512	nm0742341	nm0668914,nm0682757,nm0237543
tt0061578	nm0000736	nm0425913,nm0375355,nm0622284
tt0061722	nm0001566	nm0932229,nm0377750,nm0916047
tt0061811	nm0422484	nm0798103,nm0050398
tt0061852	nm0718627	nm0166307,nm0942723,nm0027011,nm0314788,nm0456017,nm0670328
tt0062229	nm0578483	nm0578483,nm0572819,nm0670958
tt0062512	nm0318150	nm0089169,nm0001094,nm0001220,nm0420845
tt0062622	nm0000040	nm0000040,nm0002009
tt0062765	nm0946811	nm0874450,nm0166027,nm0279302
tt0063350	nm0001681	nm0751652,nm0001681
tt0063442	nm0769874	nm0933858,nm0785245,nm0099541,nm0445934
tt0063462	nm0000316	nm0000316
tt0063522	nm0000591	nm0505615,nm0000591
tt0063929	nm0534084,nm0203791	nm0001037,nm0001385,nm0001402,nm0001589,nm0000416,nm0000092,nm0409183,nm0010930
tt0064115	nm0001351	nm0001279
tt0064116	nm0001466	nm0006872,nm0001466,nm0000783,nm0000934,nm0461658
tt0064276	nm0000454	nm0001228,nm0000454,nm0816143
tt0064665	nm0772259	nm0759029,nm0379052
tt0064757	nm0402597	nm0712362,nm0537363,nm0001220
tt0065207	nm0404606	nm0533745
tt0065214	nm0001603	nm0338396,nm0001603,nm0796429
tt0065421	nm0718627	nm0166307,nm0314788,nm0027011,nm0858826,nm0166551,nm0841035,nm0942723,nm0569710,nm1318202
tt0065462	nm0692872	nm0214989,nm0009025,nm0099541
tt0065938	nm0404606	nm0448392
