tconst	parentTconst	seasonNumber	episodeNumber
tt0959621	tt0903747	1	1
tt10023374	tt2560140	3	18
tt10034602	tt2560140	3	20
tt1054724	tt0903747	1	2
tt1054725	tt0903747	1	3
tt1054728	tt0903747	1	6
tt10582302	tt7631058	1	2
tt11171978	tt4574334	4	4
tt11172022	tt4574334	4	7
tt11198334	tt11198330	1	1
tt11198336	tt11198330	1	2
tt11198338	tt11198330	1	3
tt11198340	tt11198330	1	4
tt11198342	tt11198330	1	5
tt11198348	tt11198330	1	7
tt11198350	tt11198330	1	8
tt11630828	tt3032476	6	13
tt11957006	tt3581920	1	1
tt12187040	tt3032476	6	7
tt1232249	tt0903747	2	2
tt12810166	tt4574334	4	9
tt13052880	tt8111088	2	8
tt1322867	tt0388629	1	377
tt13605714	tt2560140	4	5
tt13819632	tt2560140	4	6
tt13857684	tt2560140	4	7
tt14500884	tt3581920	1	2
tt14500888	tt3581920	1	3
tt14500890	tt3581920	1	4
tt14659486	tt3581920	1	5
tt14659496	tt3581920	1	6
tt1480055	tt0944947	1	1
tt15747172	tt3581920	1	7
tt15747176	tt3581920	1	8
tt1615550	tt0903747	3	10
tt1615552	tt0903747	3	12
tt1615553	tt0903747	3	13
tt1615944	tt0903747	3	7
tt1668746	tt0944947	1	2
tt1683085	tt0903747	4	10
tt1683086	tt0903747	4	11
tt1683087	tt0903747	4	12
tt1683088	tt0903747	4	13
tt17277218	tt2560140	4	19
tt17505964	tt2560140	4	20
tt17594170	tt2560140	4	21
tt1821284	tt0388629	1	483
tt18268644	tt4574334	5	1
tt1830404	tt0388629	1	485
tt1851397	tt0944947	1	10
tt1851398	tt0944947	1	9
tt19811660	tt0388629	1	1015
tt2081647	tt0903747	5	1
tt2084342	tt0944947	2	9
tt2089049	tt2085059	1	2
tt2089050	tt2085059	1	3
tt2089051	tt2085059	1	1
tt21357640	tt2560140	4	29
tt2178784	tt0944947	3	9
tt2178798	tt0944947	3	4
tt21912360	tt4574334	5	3
tt21912384	tt4574334	5	5
tt21912386	tt4574334	5	6
tt21912390	tt4574334	5	7
tt21914626	tt4574334	5	2
tt21914648	tt4574334	5	4
tt21914684	tt4574334	5	8
tt2290780	tt2085059	2	1
tt2301443	tt0903747	5	10
tt2301445	tt0903747	5	11
tt2301447	tt0903747	5	12
tt2301449	tt0903747	5	13
tt2301451	tt0903747	5	14
tt2301453	tt0903747	5	15
tt2301455	tt0903747	5	16
tt2301463	tt0903747	5	5
tt2301465	tt0903747	5	6
tt2301467	tt0903747	5	7
tt2301469	tt0903747	5	8
tt2301471	tt0903747	5	9
tt2542420	tt2085059	2	2
tt27048168	tt2560140	4	30
tt27179976	tt11198330	2	4
tt27497823	tt27497448	1	1
tt27715317	tt0388629	1	1062
tt2832378	tt0944947	4	2
tt28475739	tt0388629	1	1071
tt28704920	tt0388629	1	1074
tt3060782	tt0944947	4	8
tt3060858	tt0944947	4	9
tt3060860	tt0944947	4	10
tt3060910	tt0944947	4	6
tt31804612	tt3581920	2	2
tt32314131	tt27497448	1	2
tt32314197	tt27497448	1	3
tt32314201	tt27497448	1	4
tt32314204	tt27497448	1	5
tt32314212	tt27497448	1	6
tt34952922	tt6741278	3	8
tt36351486	tt33043892	1	9
tt38504411	tt35495073	1	5
tt3866826	tt0944947	5	9
tt3866850	tt0944947	5	8
tt3866862	tt0944947	5	10
tt3973198	tt2085059	2	4
tt4077554	tt0944947	6	2
tt4283028	tt0944947	6	5
tt4283088	tt0944947	6	9
tt4283094	tt0944947	6	10
tt4538072	tt2085059	3	4
tt4593118	tt4574334	1	1
tt5058700	tt2085059	4	6
tt5497778	tt2085059	3	1
tt5654088	tt0944947	7	1
tt5655178	tt0944947	7	2
tt5709230	tt2085059	3	3
tt5709242	tt2085059	3	2
tt5710974	tt2085059	4	1
tt5710978	tt2085059	4	4
tt5775840	tt0944947	7	3
tt5775846	tt0944947	7	4
tt5775854	tt0944947	7	5
tt5775864	tt0944947	7	6
tt5775874	tt0944947	7	7
tt5924366	tt0944947	8	1
tt6020810	tt4574334	2	7
tt6027908	tt0944947	8	2
tt6027912	tt0944947	8	3
tt6027914	tt0944947	8	4
tt6027916	tt0944947	8	5
tt6027920	tt0944947	8	6
tt6723680	tt2560140	2	6
tt7911942	tt4574334	3	8
tt8162428	tt7366338	1	1
tt8482972	tt7366338	1	2
tt9166696	tt7366338	1	5
tt9788618	tt7631058	1	1
tt9898836	tt2560140	3	16
tt9906260	tt2560140	3	17
