tconst	averageRating	numVotes
tt0000417	8.1	60890
tt0010323	8.0	76208
tt0012349	8.2	145608
tt0013442	7.8	123329
tt0015324	8.1	65697
tt0015648	7.9	65106
tt0015864	8.1	128112
tt0017136	8.2	201139
tt0017925	8.1	106227
tt0018455	8.1	56716
tt0019254	8.1	68173
tt0020530	7.6	56693
tt0020629	8.1	72116
tt0021749	8.5	216348
tt0021814	7.3	64764
tt0021884	7.7	87939
tt0022100	8.3	182767
tt0023969	7.7	65398
tt0024216	7.9	95920
tt0025316	8.1	119745
tt0026029	7.6	66128
tt0026138	7.8	59028
tt0027977	8.5	285112
tt0029583	7.6	238811
tt0029843	7.9	57769
tt0029947	7.8	70432
tt0030341	7.7	61413
tt0031381	8.2	356483
tt0031679	8.1	129461
tt0031971	7.8	58834
tt0032138	8.1	467334
tt0032455	7.7	111204
tt0032551	8.1	108305
tt0032553	8.4	259384
tt0032599	7.8	67917
tt0032904	7.8	78550
tt0032910	7.5	172438
tt0032976	8.1	162471
tt0033467	8.2	493574
tt0033563	7.2	151488
tt0033870	7.9	174205
tt0034492	7.3	165116
tt0034583	8.5	655316
tt0035423	6.4	93933
tt0036342	7.7	75412
tt0036613	7.9	78789
tt0036775	8.3	181250
tt0036868	8.1	77471
tt0038109	7.5	56530
tt0038355	7.9	95464
tt0038650	8.6	554488
tt0038787	7.9	113831
tt0039628	7.9	61048
tt0040522	8.2	192580
tt0040746	7.9	165010
tt0040897	8.2	141405
tt0041959	8.1	195416
tt0042192	8.2	149218
tt0042332	7.3	187094
tt0042546	7.9	61031
tt0042876	8.1	196464
tt0043014	8.4	261054
tt0043265	7.7	88838
tt0043274	7.3	166508
tt0043456	7.7	89916
tt0044079	7.9	149065
tt0044081	7.9	119968
tt0044706	7.9	116371
tt0044741	8.3	102201
tt0045152	8.3	282406
tt0046183	7.2	165461
tt0046250	8.0	158495
tt0046268	8.1	73528
tt0046359	7.9	61481
tt0046438	8.1	77624
tt0046911	8.1	73392
tt0046912	8.1	204630
tt0047296	8.1	177738
tt0047396	8.4	568951
tt0047437	7.6	75797
tt0047478	8.6	401473
tt0047528	8.0	69991
tt0047673	7.6	58215
tt0048280	7.3	161722
tt0048424	8.0	107535
tt0048545	7.6	103220
tt0048728	7.4	86691
tt0049223	7.5	57127
tt0049366	7.7	59700
tt0049406	7.9	105635
tt0049470	7.4	76130
tt0049730	7.8	103678
tt0049833	7.9	84698
tt0050083	9.0	983171
tt0050212	8.1	248609
tt0050613	8.0	60145
tt0050783	8.1	57107
tt0050825	8.4	238662
tt0050976	8.1	216165
tt0050986	8.1	124564
tt0051201	8.4	162055
tt0051459	7.9	56939
tt0052311	7.9	114812
tt0052357	8.2	459159
tt0052520	9.0	108584
tt0052561	8.0	77804
tt0052618	8.1	271986
tt0053125	8.3	369609
tt0053198	8.0	134498
tt0053221	7.9	73535
tt0053285	7.2	172139
tt0053291	8.2	304760
tt0053472	7.6	95371
tt0053604	8.3	219186
tt0053779	8.0	85829
tt0054047	7.7	110531
tt0054215	8.5	784736
tt0054331	7.9	152208
tt0054698	7.5	204356
tt0054953	7.5	59654
tt0054997	7.9	91168
tt0055031	8.3	96954
tt0055254	7.3	196502
tt0055614	7.6	127623
tt0055630	8.2	142968
tt0055928	7.2	195523
tt0056058	8.6	90919
tt0056172	8.3	341984
tt0056193	7.5	115959
tt0056197	7.7	62757
tt0056217	8.1	88598
tt0056218	7.9	84681
tt0056592	8.2	351591
