title,genre,runtime
Les Misérables,History,158
Les Misérables,Musical,158
Les Misérables,Drama,158
Die Schlacht bei Lobositz,War,120
Die Schlacht bei Lobositz,Drama,120
Kangaroo Man,Drama,97
The Cabin,Comedy,90
Der Film verlässt das Kino: Vom Kübelkind-Experiment und anderen Utopien,Documentary,90
Our Wild Hearts,Western,89
Our Wild Hearts,Family,89
Konvoy,Drama,81
Talk: A Portmanteau,Comedy,75
As God Wishes,Documentary,67
Ivory Orphans,Documentary,50
Cosmic Birth,Documentary,45
Elliniki yfantiki,Documentary,30
Elliniki yfantiki,Short,30
The Cool Hot Rod,Short,26
The Cool Hot Rod,Drama,26
Das Gelb ohne Zebra,Documentary,24
Das Gelb ohne Zebra,Short,24
Y la muerte lo seguía,Horror,20
Y la muerte lo seguía,Adventure,20
Y la muerte lo seguía,Short,20
The Investigation,Horror,5
The Investigation,Short,5
